source;target;onset.censored;terminus.censored;duration;edge.id;onset;terminus
69;27;FALSE;FALSE;1;117;1637;1638
53;27;FALSE;FALSE;1;118;1637;1638
27;36;FALSE;FALSE;1;119;1637;1638
27;69;FALSE;FALSE;1;120;1637;1638
27;39;FALSE;FALSE;1;121;1637;1638
27;53;FALSE;FALSE;1;123;1637;1638
27;56;FALSE;FALSE;1;124;1637;1638
27;56;FALSE;FALSE;1;125;1637;1638
56;27;FALSE;FALSE;1;127;1637;1638
53;27;FALSE;FALSE;1;128;1637;1638
27;56;FALSE;FALSE;1;129;1637;1638
27;53;FALSE;FALSE;1;130;1637;1638
27;69;FALSE;FALSE;1;131;1637;1638
27;56;FALSE;FALSE;1;132;1638;1639
27;56;FALSE;FALSE;1;133;1638;1639
69;27;FALSE;FALSE;1;134;1638;1639
27;56;FALSE;FALSE;1;135;1638;1639
27;46;FALSE;FALSE;1;136;1638;1639
53;27;FALSE;FALSE;1;137;1638;1639
27;53;FALSE;FALSE;1;138;1638;1639
27;70;FALSE;FALSE;1;139;1638;1639
27;69;FALSE;FALSE;1;140;1638;1639
60;27;FALSE;FALSE;1;141;1638;1639
27;83;FALSE;FALSE;1;142;1638;1639
27;25;FALSE;FALSE;1;143;1638;1639
19;27;FALSE;FALSE;1;144;1638;1639
27;53;FALSE;FALSE;1;145;1638;1639
69;27;FALSE;FALSE;1;146;1638;1639
27;61;FALSE;FALSE;1;147;1638;1639
27;56;FALSE;FALSE;1;148;1638;1639
27;53;FALSE;FALSE;1;149;1638;1639
65;27;FALSE;FALSE;1;150;1638;1639
27;69;FALSE;FALSE;1;151;1638;1639
27;19;FALSE;FALSE;1;152;1638;1639
27;56;FALSE;FALSE;1;153;1638;1639
27;48;FALSE;FALSE;1;154;1638;1639
73;27;FALSE;FALSE;1;156;1638;1639
56;27;FALSE;FALSE;1;157;1638;1639
27;73;FALSE;FALSE;1;158;1638;1639
65;27;FALSE;FALSE;1;160;1638;1639
27;56;FALSE;FALSE;1;161;1638;1639
27;56;FALSE;FALSE;1;162;1638;1639
27;53;FALSE;FALSE;1;163;1638;1639
27;47;FALSE;FALSE;1;164;1638;1639
27;56;FALSE;FALSE;1;165;1638;1639
27;56;FALSE;FALSE;1;167;1638;1639
56;27;FALSE;FALSE;1;169;1638;1639
27;60;FALSE;FALSE;1;170;1638;1639
27;56;FALSE;FALSE;1;171;1638;1639
27;60;FALSE;FALSE;1;172;1638;1639
27;56;FALSE;FALSE;1;173;1638;1639
27;34;FALSE;FALSE;1;174;1638;1639
53;27;FALSE;FALSE;1;175;1638;1639
27;56;FALSE;FALSE;1;176;1638;1639
27;56;FALSE;FALSE;1;177;1638;1639
27;69;FALSE;FALSE;1;178;1638;1639
27;52;FALSE;FALSE;1;179;1638;1639
56;27;FALSE;FALSE;1;180;1638;1639
60;27;FALSE;FALSE;1;181;1638;1639
72;27;FALSE;FALSE;1;182;1638;1639
27;53;FALSE;FALSE;1;183;1638;1639
27;72;FALSE;FALSE;1;184;1638;1639
27;56;FALSE;FALSE;1;185;1638;1639
27;56;FALSE;FALSE;1;186;1638;1639
27;60;FALSE;FALSE;1;187;1638;1639
60;27;FALSE;FALSE;1;188;1638;1639
27;56;FALSE;FALSE;1;189;1638;1639
27;34;FALSE;FALSE;1;190;1638;1639
27;23;FALSE;FALSE;1;191;1638;1639
27;56;FALSE;FALSE;1;192;1638;1639
27;56;FALSE;FALSE;1;193;1638;1639
27;53;FALSE;FALSE;1;194;1638;1639
4;27;FALSE;FALSE;1;195;1638;1639
27;56;FALSE;FALSE;1;196;1639;1640
27;38;FALSE;FALSE;1;197;1639;1640
27;53;FALSE;FALSE;1;198;1639;1640
72;27;FALSE;FALSE;1;199;1639;1640
27;56;FALSE;FALSE;1;200;1639;1640
27;23;FALSE;FALSE;1;201;1639;1640
27;56;FALSE;FALSE;1;202;1639;1640
1;27;FALSE;FALSE;1;203;1639;1640
72;27;FALSE;FALSE;1;204;1639;1640
27;56;FALSE;FALSE;1;205;1639;1640
27;23;FALSE;FALSE;1;206;1639;1640
27;26;FALSE;FALSE;1;207;1639;1640
27;53;FALSE;FALSE;1;208;1639;1640
27;70;FALSE;FALSE;1;209;1639;1640
53;27;FALSE;FALSE;1;210;1639;1640
72;27;FALSE;FALSE;1;211;1639;1640
53;27;FALSE;FALSE;1;212;1639;1640
27;53;FALSE;FALSE;1;213;1639;1640
27;56;FALSE;FALSE;1;214;1639;1640
72;27;FALSE;FALSE;1;215;1639;1640
27;56;FALSE;FALSE;1;216;1639;1640
27;56;FALSE;FALSE;1;217;1639;1640
72;27;FALSE;FALSE;1;218;1639;1640
27;56;FALSE;FALSE;1;220;1639;1640
72;27;FALSE;FALSE;1;221;1639;1640
27;56;FALSE;FALSE;1;222;1639;1640
27;53;FALSE;FALSE;1;223;1639;1640
76;27;FALSE;FALSE;1;224;1639;1640
27;53;FALSE;FALSE;1;225;1639;1640
27;81;FALSE;FALSE;1;226;1639;1640
72;27;FALSE;FALSE;1;227;1639;1640
27;53;FALSE;FALSE;1;228;1639;1640
53;27;FALSE;FALSE;1;229;1639;1640
27;53;FALSE;FALSE;1;230;1639;1640
27;81;FALSE;FALSE;1;231;1639;1640
27;56;FALSE;FALSE;1;232;1639;1640
53;27;FALSE;FALSE;1;233;1639;1640
27;53;FALSE;FALSE;1;234;1639;1640
74;27;FALSE;FALSE;1;235;1645;1646
27;53;FALSE;FALSE;1;236;1640;1641
53;27;FALSE;FALSE;1;237;1640;1641
27;56;FALSE;FALSE;1;238;1640;1641
27;58;FALSE;FALSE;1;239;1640;1641
27;85;FALSE;FALSE;1;240;1640;1641
27;52;FALSE;FALSE;1;241;1640;1641
53;27;FALSE;FALSE;1;242;1640;1641
27;56;FALSE;FALSE;1;243;1640;1641
27;53;FALSE;FALSE;1;244;1640;1641
27;56;FALSE;FALSE;1;245;1640;1641
27;42;FALSE;FALSE;1;246;1640;1641
53;27;FALSE;FALSE;1;247;1640;1641
72;27;FALSE;FALSE;1;248;1640;1641
27;70;FALSE;FALSE;1;249;1640;1641
27;72;FALSE;FALSE;1;250;1640;1641
72;27;FALSE;FALSE;1;251;1640;1641
27;72;FALSE;FALSE;1;252;1640;1641
27;87;FALSE;FALSE;1;253;1640;1641
27;56;FALSE;FALSE;1;254;1640;1641
27;87;FALSE;FALSE;1;255;1640;1641
27;56;FALSE;FALSE;1;256;1640;1641
27;49;FALSE;FALSE;1;257;1640;1641
53;27;FALSE;FALSE;1;258;1640;1641
27;56;FALSE;FALSE;1;259;1640;1641
